Text,Topics
,[]
"  Criminal Justice and Police Act 2001 (c. 16) xmlns:atom=""http://www.w3.org/2005/Atom"" xmlns:atom=""http://www.w3.org/2005/Atom""      Criminal Justice and Police Act 20012001 CHAPTER 16An Act to make provision for combatting crime and disorder; to make provision about the disclosure of information relating to criminal matters and about powers of search and seizure; to amend the Police and Criminal Evidence Act 1984, the Police and Criminal Evidence (Northern Ireland) Order 1989 and the Terrorism Act 2000; to make provision about the police, the National Criminal Intelligence Service and the National Crime Squad; to make provision about the powers of the courts in relation to criminal matters; and for connected purposes.[11th May 2001]Be it enacted by the Queen’s most Excellent Majesty, by and with the advice and consent of the Lords Spiritual and Temporal, and Commons, in this present Parliament assembled, and by the authority of the same, as follows:—","['0.063*""criminal"" + 0.048*""police"" + 0.048*""act"" + 0.040*""provision"" + 0.040*""make""']"
" Part 1 U.K. Provisions for Combatting Crime and DisorderChapter 1E+W On the Spot Penalties for Disorderly BehaviourModifications etc. (not altering text)C1Pt. 1 Ch. 1 extended (15.11.2003) by Police Reform Act 2002 (c. 30), ss. 38, 108, Sch. 4 para. 1(2)(a); S.I. 2003/2593, art. 2(d)C2Pt. 1 Ch. 1 modified (26.12.2004) by The Penalties for Disorderly Behaviour (Amendment of Minimum Age) Order 2004 (S.I. 2004/3166), art. 6 Offences to which this Chapter appliesE+W1 Offences leading to penalties on the spotE+W(1)For the purposes of this Chapter “penalty offence” means an offence committed under any of the provisions mentioned in the first column of the following Table and described, in general terms, in the second column:","['0.043*""penalties"" + 0.033*""art"" + 0.033*""chapter"" + 0.033*""disorderly"" + 0.033*""column""']"
"Offence creating provisionDescription of offenceSection 12 of the Licensing Act 1872 (c.94)Being drunk in a highway, other public place or licensed premisesSection 80 of the Explosives Act 1875 (c.17)Throwing fireworks in a thoroughfareF1. . . F1. . .  [F2Section 2(1) of the Parks Regulation (Amendment) Act 1926 so far as it creates an offence against the Parks Regulation Act 1872 relating to any of the following provisions of the Royal Parks and Other Open Spaces Regulations 1997 (S.I. 1997/1639)—Failing to comply with, or contravening, those Regulations by—(a) regulation 3(3)dropping or leaving litter or refuse except in a receptacle provided for the purpose(b) regulation 3(4)using a pedal cycle, a roller blade etc except on a Park road or in a designated area(c) regulation 3(6)failing to remove immediately any faeces deposited by an animal of which that person is in charge]Section 55 of the British Transport Commission Act 1949 (c.xxix)Trespassing on a railwaySection 56 of the British Transport Commission Act 1949 (c.xxix)Throwing stones etc. at trains or other things on railways[F3Section 169A of the Licensing Act 1964 (c. 26)Sale of alcohol to a person under 18][F4Section 169C(1)of the Licensing Act 1964 (c. 26)Buying or attempting to buy alcohol by a person under 18]Section [F5 169C(2) F6. . . ] of the Licensing Act 1964 (c.26)Buying or attempting to buy alcohol for F7. . . a person under 18[F8Section 169E of the Licensing Act 1964 (c. 26)Consumption of alcohol by a person under 18 or allowing such consumption][F9Section 169F of the Licensing Act 1964 (c. 26)Delivery of alcohol to a person under 18 or allowing such delivery][F10Section 172(3) of the Licensing Act 1964 (c. 26)Selling alcohol to a drunken person]Section 91 of the Criminal Justice Act 1967 (c.80)Disorderly behaviour while drunk in a public placeSection 5(2) of the Criminal Law Act 1967 (c.58)Wasting police time or giving false report[F11Section 1 of the Theft Act 1968 (c. 60)Theft][F12Section 1(1) of the Criminal Damage Act 1971 (c. 48)Destroying or damaging property][F13Section 5(2) of the Misuse of Drugs Act 1971 so far as relating to the following-","['0.079*""act"" + 0.044*""section"" + 0.035*""person"" + 0.035*""licensing"" + 0.031*""alcohol""']"
"(a)cannabinol,","['1.000*""acannabinol""']"
"(b)cannabinol derivatives (within the meaning of Part 4 of Schedule 2 to that Act),","['0.143*""schedule"" + 0.143*""act"" + 0.143*""meaning"" + 0.143*""bcannabinol"" + 0.143*""derivatives""']"
"(c)cannabis or cannabis resin (within the meaning of that Act),","['0.167*""act"" + 0.167*""cannabis"" + 0.167*""ccannabis"" + 0.167*""within"" + 0.167*""resin""']"
"(d)any stereoisomeric form of a substance specified in any of paragraphs (a) to (c),","['0.143*""paragraphs"" + 0.143*""form"" + 0.143*""dany"" + 0.143*""stereoisomeric"" + 0.143*""substance""']"
"(e)any ester or ether of a substance specified in paragraph (a) or (b),","['0.143*""paragraph"" + 0.143*""ether"" + 0.143*""specified"" + 0.143*""b"" + 0.143*""ester""']"
"(f)any salt of a substance specified in paragraphs (a) to (e),","['0.167*""paragraphs"" + 0.167*""fany"" + 0.167*""specified"" + 0.167*""substance"" + 0.167*""salt""']"
"(g)any preparation or other product containing a substance or product specified in any of paragraphs (a) to (f), not being a preparation falling within paragraph 6 of Part 1 of Schedule 2 to that Act.","['0.100*""preparation"" + 0.100*""product"" + 0.067*""containing"" + 0.067*""act"" + 0.067*""paragraphs""']"
Possession of cannabis etc][F14Section 5(2) of the Misuse of Drugs Act 1971 so far as relating to the following—,"['0.111*""cannabis"" + 0.111*""act"" + 0.111*""misuse"" + 0.111*""relating"" + 0.111*""possession""']"
"(a) khat (within the meaning given by Part 4 of Schedule 2 to that Act), or","['0.143*""schedule"" + 0.143*""khat"" + 0.143*""given"" + 0.143*""part"" + 0.143*""meaning""']"
(b) any preparation or other product containing khat.,"['0.200*""product"" + 0.200*""khat"" + 0.200*""containing"" + 0.200*""b"" + 0.200*""preparation""']"
