Text,Topics
" Serious Organised Crime and Police Act 2005 (c. 15) xmlns:atom=""http://www.w3.org/2005/Atom"" xmlns:atom=""http://www.w3.org/2005/Atom""      Serious Organised Crime and Police Act 20052005 CHAPTER 15An Act to provide for the establishment and functions of the Serious Organised Crime Agency; to make provision about investigations, prosecutions, offenders and witnesses in criminal proceedings and the protection of persons involved in investigations or proceedings; to provide for the implementation of certain international obligations relating to criminal matters; to amend the Proceeds of Crime Act 2002; to make further provision for combatting crime and disorder, including new provision about powers of arrest and search warrants and about parental compensation orders; to make further provision about the police and policing and persons supporting the police; to make provision for protecting certain organisations from interference with their activities; to make provision about criminal records; to provide for the Private Security Industry Act 2001 to extend to Scotland; and for connected purposes.[7th April 2005]Be it enacted by the Queen's most Excellent Majesty, by and with the advice and consent of the Lords Spiritual and Temporal, and Commons, in this present Parliament assembled, and by the authority of the same, as follows:—","['0.039*""provision"" + 0.034*""crime"" + 0.034*""make"" + 0.034*""act"" + 0.028*""police""']"
" F1Part 1U.K.The Serious Organised Crime AgencyTextual AmendmentsF1Pt. 1 omitted (7.10.2013) by virtue of Crime and Courts Act 2013 (c. 22), s. 61(2), Sch. 8 para. 158 (with Sch. 8 para. 9); S.I. 2013/1682, art. 3(v)F1Chapter 1U.K.SOCA: establishment and activitiesF1Establishment of SOCAU.K.F11Establishment of Serious Organised Crime AgencyU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['0.125*""crime"" + 0.094*""organised"" + 0.094*""serious"" + 0.094*""sch"" + 0.094*""para""']"
 F1FunctionsU.K.F12Functions of SOCA as to serious organised crimeU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""organised"" + 0.333*""serious"" + 0.333*""soca""']"
 F1 2A  Functions of SOCA as to the recovery of assets U.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.250*""functions"" + 0.250*""recovery"" + 0.250*""soca"" + 0.250*""assets""']"
 F13Functions of SOCA as to information relating to crimeU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""information"" + 0.333*""relating"" + 0.333*""soca""']"
 F14Exercise of functions: general considerationsU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.500*""functions"" + 0.500*""general""']"
 F1General powersU.K.F15SOCA's general powersU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['1.000*""general""']"
 F1Annual plans and reportsU.K.F16Annual plansU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['1.000*""plans""']"
 F17Annual reportsU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[]
 F1Central supervision and directionU.K.F18General duty of Secretary of State and Scottish MinistersU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.200*""state"" + 0.200*""scottish"" + 0.200*""supervision"" + 0.200*""duty"" + 0.200*""secretary""']"
 F18AGeneral duty of the Department of Justice in Northern IrelandU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.250*""justice"" + 0.250*""northern"" + 0.250*""department"" + 0.250*""duty""']"
 F19Strategic prioritiesU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[]
 F110Codes of practiceU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[]
 F111Reports to Secretary of StateU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['1.000*""secretary""']"
 F112Power to direct submission of action planU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""action"" + 0.333*""direct"" + 0.333*""submission""']"
 F113Revision of inadequate action planU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.500*""action"" + 0.500*""inadequate""']"
 F114Procedure for giving directions under section 12U.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""directions"" + 0.333*""giving"" + 0.333*""section""']"
 F115Reports relating to directions under section 12U.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""directions"" + 0.333*""section"" + 0.333*""relating""']"
 F116InspectionsU.K.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[]
