Text,Topics,Source
,[],Criminal Justice and Police Act 2001 (c. 16).csv
"  Criminal Justice and Police Act 2001 (c. 16) xmlns:atom=""http://www.w3.org/2005/Atom"" xmlns:atom=""http://www.w3.org/2005/Atom""      Criminal Justice and Police Act 20012001 CHAPTER 16An Act to make provision for combatting crime and disorder; to make provision about the disclosure of information relating to criminal matters and about powers of search and seizure; to amend the Police and Criminal Evidence Act 1984, the Police and Criminal Evidence (Northern Ireland) Order 1989 and the Terrorism Act 2000; to make provision about the police, the National Criminal Intelligence Service and the National Crime Squad; to make provision about the powers of the courts in relation to criminal matters; and for connected purposes.[11th May 2001]Be it enacted by the Queen’s most Excellent Majesty, by and with the advice and consent of the Lords Spiritual and Temporal, and Commons, in this present Parliament assembled, and by the authority of the same, as follows:—","['0.063*""criminal"" + 0.048*""police"" + 0.048*""act"" + 0.040*""make"" + 0.040*""provision""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Part 1 U.K. Provisions for Combatting Crime and DisorderChapter 1E+W On the Spot Penalties for Disorderly BehaviourModifications etc. (not altering text)C1Pt. 1 Ch. 1 extended (15.11.2003) by Police Reform Act 2002 (c. 30), ss. 38, 108, Sch. 4 para. 1(2)(a); S.I. 2003/2593, art. 2(d)C2Pt. 1 Ch. 1 modified (26.12.2004) by The Penalties for Disorderly Behaviour (Amendment of Minimum Age) Order 2004 (S.I. 2004/3166), art. 6 Offences to which this Chapter appliesE+W1 Offences leading to penalties on the spotE+W(1)For the purposes of this Chapter “penalty offence” means an offence committed under any of the provisions mentioned in the first column of the following Table and described, in general terms, in the second column:","['0.041*""penalties"" + 0.031*""ch"" + 0.031*""offences"" + 0.031*""art"" + 0.031*""offence""']",Criminal Justice and Police Act 2001 (c. 16).csv
"Offence creating provisionDescription of offenceSection 12 of the Licensing Act 1872 (c.94)Being drunk in a highway, other public place or licensed premisesSection 80 of the Explosives Act 1875 (c.17)Throwing fireworks in a thoroughfareF1. . . F1. . .  [F2Section 2(1) of the Parks Regulation (Amendment) Act 1926 so far as it creates an offence against the Parks Regulation Act 1872 relating to any of the following provisions of the Royal Parks and Other Open Spaces Regulations 1997 (S.I. 1997/1639)—Failing to comply with, or contravening, those Regulations by—(a) regulation 3(3)dropping or leaving litter or refuse except in a receptacle provided for the purpose(b) regulation 3(4)using a pedal cycle, a roller blade etc except on a Park road or in a designated area(c) regulation 3(6)failing to remove immediately any faeces deposited by an animal of which that person is in charge]Section 55 of the British Transport Commission Act 1949 (c.xxix)Trespassing on a railwaySection 56 of the British Transport Commission Act 1949 (c.xxix)Throwing stones etc. at trains or other things on railways[F3Section 169A of the Licensing Act 1964 (c. 26)Sale of alcohol to a person under 18][F4Section 169C(1)of the Licensing Act 1964 (c. 26)Buying or attempting to buy alcohol by a person under 18]Section [F5 169C(2) F6. . . ] of the Licensing Act 1964 (c.26)Buying or attempting to buy alcohol for F7. . . a person under 18[F8Section 169E of the Licensing Act 1964 (c. 26)Consumption of alcohol by a person under 18 or allowing such consumption][F9Section 169F of the Licensing Act 1964 (c. 26)Delivery of alcohol to a person under 18 or allowing such delivery][F10Section 172(3) of the Licensing Act 1964 (c. 26)Selling alcohol to a drunken person]Section 91 of the Criminal Justice Act 1967 (c.80)Disorderly behaviour while drunk in a public placeSection 5(2) of the Criminal Law Act 1967 (c.58)Wasting police time or giving false report[F11Section 1 of the Theft Act 1968 (c. 60)Theft][F12Section 1(1) of the Criminal Damage Act 1971 (c. 48)Destroying or damaging property][F13Section 5(2) of the Misuse of Drugs Act 1971 so far as relating to the following-","['0.071*""act"" + 0.031*""person"" + 0.031*""licensing"" + 0.028*""alcohol"" + 0.024*""regulation""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(a)cannabinol,","['1.000*""cannabinol""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(b)cannabinol derivatives (within the meaning of Part 4 of Schedule 2 to that Act),","['0.125*""b"" + 0.125*""act"" + 0.125*""part"" + 0.125*""within"" + 0.125*""meaning""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(c)cannabis or cannabis resin (within the meaning of that Act),","['0.231*""cannabis"" + 0.154*""meaning"" + 0.154*""within"" + 0.154*""act"" + 0.154*""c""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(d)any stereoisomeric form of a substance specified in any of paragraphs (a) to (c),","['0.167*""c"" + 0.167*""stereoisomeric"" + 0.167*""specified"" + 0.167*""substance"" + 0.167*""form""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(e)any ester or ether of a substance specified in paragraph (a) or (b),","['0.143*""e"" + 0.143*""ether"" + 0.143*""specified"" + 0.143*""b"" + 0.143*""paragraph""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(f)any salt of a substance specified in paragraphs (a) to (e),","['0.167*""e"" + 0.167*""f"" + 0.167*""paragraphs"" + 0.167*""substance"" + 0.167*""salt""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(g)any preparation or other product containing a substance or product specified in any of paragraphs (a) to (f), not being a preparation falling within paragraph 6 of Part 1 of Schedule 2 to that Act.","['0.100*""product"" + 0.100*""preparation"" + 0.067*""paragraphs"" + 0.067*""f"" + 0.067*""specified""']",Criminal Justice and Police Act 2001 (c. 16).csv
Possession of cannabis etc][F14Section 5(2) of the Misuse of Drugs Act 1971 so far as relating to the following—,"['0.125*""far"" + 0.125*""relating"" + 0.125*""misuse"" + 0.125*""possession"" + 0.125*""act""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(a) khat (within the meaning given by Part 4 of Schedule 2 to that Act), or","['0.143*""schedule"" + 0.143*""within"" + 0.143*""act"" + 0.143*""khat"" + 0.143*""part""']",Criminal Justice and Police Act 2001 (c. 16).csv
(b) any preparation or other product containing khat.,"['0.200*""khat"" + 0.200*""containing"" + 0.200*""product"" + 0.200*""b"" + 0.200*""preparation""']",Criminal Justice and Police Act 2001 (c. 16).csv
"Possession of khat or any preparation or other product containing khat][F15Section 43(1)(b) of the Telecommunications Act 1984 (c.12)][F15Using public telecommunications system for sending message known to be false in order to cause annoyance][F16Section 5 of the Public Order Act 1986 (c.64)Behaviour likely to cause harassment, alarm or distress][F17Section 87 of the Environmental Protection Act 1990 (c. 43)Depositing and leaving litter]Section 12 of this ActConsumption of alcohol in designated public place[F18Section 127(2) of the Communications Act 2003Using public electronic communications network in order to cause annoyance, inconvenience or needless anxiety][F19Section 11 of the Fireworks Act 2003 (c. 22)Contravention of a prohibition or failure to comply with a requirement imposed by or under fireworks regulations or making false statements][F20Section 49 of the Fire and Rescue Services Act 2004 (c. 21)Knowingly giving a false alarm of fire][F21Section 149(4) of the Licensing Act 2003Buying or attempting to buy alcohol for consumption on licensed premises, etc. by child](2)The Secretary of State may by order amend an entry in the Table or add or remove an entry.","['0.049*""act"" + 0.031*""order"" + 0.031*""public"" + 0.025*""false"" + 0.025*""cause""']",Criminal Justice and Police Act 2001 (c. 16).csv
(3)An order under subsection (2) may make such amendment of any provision of this Chapter as the Secretary of State considers appropriate in consequence of any change in the Table made by the order.,"['0.097*""order"" + 0.065*""table"" + 0.065*""secretary"" + 0.065*""appropriate"" + 0.065*""amendment""']",Criminal Justice and Police Act 2001 (c. 16).csv
F22(4). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
F22(5). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
"Textual AmendmentsF1S. 1(1) table: entry repealed (1.10.2004 for E. and 10.11.2004 for W.) by Fire and Rescue Services Act 2004 (c. 21), ss. 53, 54, Sch. 1 para. 97(2), Sch. 2; S.I. 2004/2304, art. 2 (subject to art. 3); S.I. 2004/2917, art. 2F2Words in s. 1(1) table inserted (1.7.2012) by The Criminal Justice and Police Act 2001 (Amendment) Order 2012 (S.I. 2012/1430), arts. 1(2), 2F3S. 1(1) table: entry inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(2)F4S. 1(1) table: entry inserted (4.4.2005) by The Criminal Justice and Police Act 2001 (Amendment) Order 2005 (S.I. 2005/1090), art. 2(2)F5S. 1(1) table: words in entry substituted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(3)(a)F6S. 1(1) table: entry relating to s. 169C(3) of Licensing Act 1964 repealed (24.11.2005) by Licensing Act 2003 (c. 17), ss. 199, 201, Sch. 7 (with ss. 2(3), 15(2), 195); S.I. 2005/3056, art. 2(2)F7S. 1(1) table: words in entry omitted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(3)(b)F8S. 1(1) table: entry inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(4)F9S. 1(1) table: entry inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(4)F10S. 1(1) table: entry inserted (4.4.2005) by The Criminal Justice and Police Act 2001 (Amendment) Order 2005 (S.I. 2005/1090), art. 2(3)F11S. 1(1) table: entry inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(5)F12S. 1(1) table: entry inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(5)F13Words in s. 1(1) inserted (28.1.2009) by The Criminal Justice and Police Act 2001 (Amendment) Order 2009 (S.I. 2009/110), arts. 1(2), 2F14Words in s. 1(1) table inserted (24.6.2014) by The Criminal Justice and Police Act 2001 (Amendment) Order 2014 (S.I. 2014/1365), arts. 1(2), 2F15S. 1(1) table: entry repealed (25.7.2003 for specified purposes, 29.12.2003 for further specified purposes) by Communications Act 2003 (c. 21), ss. 406(1)(6), 408, 411, Sch. 19(1) (with Sch. 18); S.I. 2003/1900, arts. 1(2), 2(1), 3(1), Sch. 1 (with art. 3(2) (as amended (8.12.2003) by S.I. 2003/3142, art. 1(3))); S.I. 2003/3142, art. 3(2) (with art. 11)F16S. 1(1) table: entry inserted (22.7.2002) by The Criminal Justice and Police Act 2001 (Amendment) Order 2002 (S.I. 2002/1934), art. 2F17S. 1(1) table: entry inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 2(6)F18S. 1(1) table: entry in table inserted (25.7.2003 for specified purposes, 29.12.2003 for further specified purposes) by Communications Act 2003 (c. 21), ss. 406(1)(6), 408, 411, Sch. 17 para. 169 (with Sch. 18); S.I. 2003/1900, arts. 1(2), 2(1), 3(1), Sch. 1 (with art. 3(2) (as amended (8.12.2003) by S.I. 2003/3142, art. 1(3))); S.I. 2003/3142, art. 3(2) (with art. 11)F19S. 1(1) table: entry inserted (11.10.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(3), 2(7)F20S. 1(1) table: entry added (1.10.2004 for E. and 10.11.2004 for W.) by Fire and Rescue Services Act 2004 (c. 21), ss. 53, Sch. 1 para. 97(3); S.I. 2004/2304, art. 2 (subject to art. 3); S.I. 2004/2917, art. 2F21S. 1(1) table: entry inserted (24.11.2005) by Licensing Act 2003 (c. 17), ss. 198, 201, Sch. 6 para. 120 (with ss. 2(3), 15(2), 195); S.I. 2005/3056, art. 2(2)F22S. 1(4)(5) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 2; S.I. 2013/453, art. 4(e)Commencement InformationI1S. 1 wholly in force at 12.8.2002; s. 1 not in force at Royal Assent see s. 138; s. 1 in force for certain purposes at 1.3.2002 by S.I. 2002/344, art. 2; s. 1 in force at 12.8.2002 in so far as not already in force by S.I. 2002/2050, art. 2 Penalty notices and penaltiesE+W2 Penalty noticesE+W(1)A constable who has reason to believe that a person aged [F2318] or over has committed a penalty offence may give him a penalty notice in respect of the offence.","['0.086*""act"" + 0.065*""police"" + 0.060*""art"" + 0.057*""table"" + 0.049*""entry""']",Criminal Justice and Police Act 2001 (c. 16).csv
"[F24(1A)If the offence mentioned in subsection (1) is a relevant penalty offence, the constable may give the person a penalty notice with an education option.]","['0.115*""offence"" + 0.115*""penalty"" + 0.077*""option"" + 0.077*""may"" + 0.077*""subsection""']",Criminal Justice and Police Act 2001 (c. 16).csv
F25(2). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
F26(3). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
(4)In this Chapter [F27—,"['1.000*""chapter""']",Criminal Justice and Police Act 2001 (c. 16).csv
“approved educational course” means an educational course run as part of an educational course scheme established by—,"['0.200*""course"" + 0.200*""educational"" + 0.100*""established"" + 0.100*""approved"" + 0.100*""scheme""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(a)in the case of a notice given by a constable of the British Transport Police Force, the Chief Constable of that force, and","['0.150*""constable"" + 0.150*""force"" + 0.100*""police"" + 0.100*""british"" + 0.100*""case""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(b)in any other case, the chief officer of police for the area in which the notice is given;","['0.125*""officer"" + 0.125*""chief"" + 0.125*""area"" + 0.125*""police"" + 0.125*""notice""']",Criminal Justice and Police Act 2001 (c. 16).csv
“educational course scheme” means a scheme established by a chief officer of police under section 2A;],"['0.158*""scheme"" + 0.105*""chief"" + 0.105*""officer"" + 0.105*""means"" + 0.105*""educational""']",Criminal Justice and Police Act 2001 (c. 16).csv
"“penalty notice” means a notice offering the opportunity, by paying a penalty in accordance with this Chapter, to discharge any liability to be convicted of the offence to which the notice relates [F28;","['0.138*""notice"" + 0.103*""penalty"" + 0.069*""chapter"" + 0.069*""discharge"" + 0.069*""offence""']",Criminal Justice and Police Act 2001 (c. 16).csv
“penalty notice with an education option” means a penalty notice that also offers the opportunity to discharge any liability to be convicted of the offence to which the notice relates by—,"['0.138*""notice"" + 0.103*""penalty"" + 0.069*""relates"" + 0.069*""means"" + 0.069*""liability""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(a)completing an approved educational course, and","['0.250*""approved"" + 0.250*""completing"" + 0.250*""educational"" + 0.250*""course""']",Criminal Justice and Police Act 2001 (c. 16).csv
(b)paying the course fee;],"['0.250*""b"" + 0.250*""paying"" + 0.250*""course"" + 0.250*""fee""']",Criminal Justice and Police Act 2001 (c. 16).csv
"[F29(4A)In this section, “relevant penalty offence” means a penalty offence in relation to which there is an approved educational course.","['0.150*""penalty"" + 0.150*""offence"" + 0.100*""approved"" + 0.100*""relation"" + 0.100*""educational""']",Criminal Justice and Police Act 2001 (c. 16).csv
(4B)The Secretary of State may by regulations make provision about the revocation of penalty notices.],"['0.111*""provision"" + 0.111*""notices"" + 0.111*""revocation"" + 0.111*""secretary"" + 0.111*""make""']",Criminal Justice and Police Act 2001 (c. 16).csv
F30(5). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
F31(6). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
F31(7). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
F31(8). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
F31(9). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
"Textual AmendmentsF23Word in s. 2(1) substituted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(2); S.I. 2013/453, art. 4(e)F24S. 2(1A) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(3); S.I. 2013/453, art. 4(e)F25S. 2(2) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(4); S.I. 2013/453, art. 4(e)F26S. 2(3) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(5); S.I. 2013/453, art. 4(e)F27Words in s. 2(4) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(6)(a); S.I. 2013/453, art. 4(e)F28Words in s. 2(4) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(6)(b); S.I. 2013/453, art. 4(e)F29S. 2(4A)(4B) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(7); S.I. 2013/453, art. 4(e)F30S. 2(5) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(8); S.I. 2013/453, art. 4(e)F31S. 2(6)-(9) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(9); S.I. 2013/453, art. 4(e)[F322AEducational course schemesE+W(1)A chief officer of police may establish an educational course scheme under this section in relation to one or more kinds of penalty offence committed in the chief officer's area.","['0.064*""sentencing"" + 0.064*""legal"" + 0.064*""act"" + 0.064*""art"" + 0.064*""e""']",Criminal Justice and Police Act 2001 (c. 16).csv
(2)An educational course scheme must include arrangements—,"['0.200*""must"" + 0.200*""educational"" + 0.200*""include"" + 0.200*""course"" + 0.200*""scheme""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(a)for educational courses relating to the penalty offences to which the scheme relates to be provided to persons who are given penalty notices with an education option, and","['0.111*""penalty"" + 0.074*""notices"" + 0.074*""relating"" + 0.074*""given"" + 0.074*""persons""']",Criminal Justice and Police Act 2001 (c. 16).csv
(b)for a course fee set by the chief officer of police—,"['0.167*""b"" + 0.167*""course"" + 0.167*""fee"" + 0.167*""chief"" + 0.167*""officer""']",Criminal Justice and Police Act 2001 (c. 16).csv
"(i)to be paid by a person who attends an educational course, and","['0.200*""course"" + 0.200*""educational"" + 0.200*""person"" + 0.200*""attends"" + 0.200*""paid""']",Criminal Justice and Police Act 2001 (c. 16).csv
